Meta-Modelo,Scaler,MAE (μ),RMSE (μ),Spearman (μ),Acc@1 (μ)
Ridge,Baseline,0.1007,0.1163,0.4966,0.3788
Ridge,StandardScaler,0.1007,0.1163,0.4966,0.3788
Ridge,MinMaxScaler,0.1007,0.1163,0.4966,0.3788
Ridge,RobustScaler,0.1007,0.1163,0.4966,0.3788
Ridge,QuantileTransformer,0.1152,0.1358,0.4483,0.3586
SVR,Baseline,0.0978,0.11,0.5213,0.3687
SVR,StandardScaler,0.0898,0.1024,0.5982,0.4949
SVR,MinMaxScaler,0.0952,0.1074,0.5447,0.4192
SVR,RobustScaler,0.0884,0.1009,0.5966,0.4646
SVR,QuantileTransformer,0.0896,0.1033,0.5847,0.4293
RandomForest,Baseline,0.086,0.0982,0.6019,0.4747
RandomForest,StandardScaler,0.0847,0.0972,0.611,0.5
RandomForest,MinMaxScaler,0.0845,0.0966,0.6157,0.5152
RandomForest,RobustScaler,0.0854,0.0976,0.6123,0.4949
RandomForest,QuantileTransformer,0.0873,0.1021,0.5934,0.4697
MLP,Baseline,0.183,0.2137,0.0802,0.2121
MLP,StandardScaler,0.1165,0.1346,0.3875,0.3384
MLP,MinMaxScaler,0.1714,0.1984,0.1097,0.2424
MLP,RobustScaler,0.122,0.1417,0.3542,0.3586
MLP,QuantileTransformer,0.1294,0.1483,0.4355,0.298
